artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id
Charles Demuth,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.7349196122,63
Charles Ephraim Burchfield,2,1936,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3655652991,64
Charles Ephraim Burchfield,3,1948,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4719636344,64
Charles Sheeler,3,1948,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3536937231,65
Charles Sheeler,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4997080292,65
Charles Sheeler,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6744483476,65
Charles Sheeler,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2258502598,65
"Chaucer, Printed by William Morris; illustrated by Burne-Jones",1,1926,British,British,Male,White,Not Hispanic or Latinx,gardner,0.3962815209,66
Chris Ofili,12,2005,British,British,Male,Black or African American,Not Hispanic or Latinx,gardner,0.2598303075,67
Chris Ofili,13,2009,British,British,Male,Black or African American,Not Hispanic or Latinx,gardner,0.6750034672,67
Chris Ofili,14,2013,British,British,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3410845546,67
Chris Ofili,15,2016,British,British,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3181537034,67
Chuck Close,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3106988165,68
Chuck Close,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2702527161,68
Chuck Close,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2648937141,68
Chuck Close,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4355323378,68
Chuck Close,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4622994776,68
Chuck Close,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4286067728,68
Chuck Close,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4422864507,68
