Yearof Publication,Artist,CountToDate,TotalAreaText(cm^2)
,Sarkis Katchadourian,1,
,Sarah Sze,1,
,Sarah Crowner,1,
,Sarah Charlesworth,1,
,Sarah Berman,1,
,Sara Garden Armstrong,1,
,Sara Diamond,1,
,Santiago Sierra,1,
,Santiago Calatrava,1,
,Santiago Agurto Calvo,1,
,Sanja Iveković,1,
,Sanford Biggers,1,
,Sandu Darie,1,
,Sandro Martini,1,
2001,Sandro Chia,1,65.7
,Sandro Botticelli,1,
,Sandra Gamarra,1,
,Sandor Ajzenstat,1,
,Sándor (Alexander) Bortnyik,1,
,Samuil Adlivankin,1,
,Samuel Gardstein,1,
,Samuel Cashwan,1,
,Samara Golden,1,
,Sam Taylor-Wood,1,
,Sam Schoenbaum,1,
,Sam Samore,1,
,Sam Moyer,1,
1991,Sam Gilliam,1,86.52
,Sam Francis,1,
,Sam Contis,1,
,Sam Bennett,1,
,Sam Anderson,1,
2020,Salvador Dalí,14,102.3
2016,Salvador Dalí,13,96.6
2013,Salvador Dalí,12,97.65
2009,Salvador Dalí,11,98.09
2005,Salvador Dalí,10,97.9
2001,Salvador Dalí,9,115.2
1996,Salvador Dalí,8,121.5
1991,Salvador Dalí,7,113.4
1986,Salvador Dalí,6,151.2
1980,Salvador Dalí,5,55.44
1975,Salvador Dalí,4,56
1970,Salvador Dalí,3,134.55
1959,Salvador Dalí,2,140.3
1948,Salvador Dalí,1,50.74
,Sally Rubin,1,
,Sally Hazelet Drummond,1,
,Sally Bowden,1,
,Salim Al-Kadi,1,
,Sadik Kwaish Alfraji,1,
,Sadie Benning,1,
,Sachiko Abe,1,
,Sabrina Mezzagui,1,
,Sable Elyse Smith,1,
,Sabine Hornig,1,
,Sabine Bitter,1,
,S.E.M. Ensemble,1,
,S.A. Abbott,1,
,Ryszard Wasko,1,
,Ryoji Akiyama,1,
,Ryan Trecartin,1,
,Ryan Sullivan,1,
,Ryan McGinness,1,
,Ryan McGinley,1,
,Ruth Chaney,1,
,Ruth Bernhard,1,
,Ruth Asawa,1,
,Ruth Ann Fredenthal,1,
,Ruth Adler,1,
,Rusty Gilder,1,
,Russell Brami,1,
,Russell Barnett Aitken,1,
,Russell Ball,1,
,Ruodi Barth,1,
,Runa Islam,1,
,Rufino Tamayo,1,
,Ruedi Baur,1,
,Rudy Perezi,1,
,Rudy Burckhardt,1,
,Rudolph Luria,1,
,Rudolph Bauer,1,
,Rudolf Belling,1,
,Rudolf Baranik,1,
,Royden Rabinowitch,1,
2020,Roy Lichtenstein,11,210.18
2016,Roy Lichtenstein,10,197.76
2013,Roy Lichtenstein,9,218.55
2009,Roy Lichtenstein,8,154.24
2005,Roy Lichtenstein,7,71.2
2001,Roy Lichtenstein,6,77.4
1996,Roy Lichtenstein,5,36
1986,Roy Lichtenstein,4,31.08
1980,Roy Lichtenstein,3,60.48
1975,Roy Lichtenstein,2,57.4
1970,Roy Lichtenstein,1,27.6
,Roy DeCarava,1,
,Roy Barge,1,
,Roy Arden,1,
,Roy Adzak,1,
,ROY,1,
,Roxanne Blanchard,1,
,Ross Bleckner,1,
,Ross Bellah,1,
,Roslyn Middleman,1,
,Rosetta Brooks,1,
,Rosemarie Trockel,1,
,Rosemarie Castoro,1,
,Rosemarie Beck,1,
,Rose Farrell,1,
,Rosalyn Drexler,1,
,Rosalind Fox Solomon,1,
,Rosa Brückl,1,
,Ros Barron,1,
,Ronnie Landfield,1,
,Ronnie Carson,1,
,Ronni G. Solbert,1,
,Roni Horn,1,
,Ronaldo Azeredo,1,
,Ronald Kolodzie,1,
,Ronald Bladen,1,
,Ron Rocco,1,
,Ron Kuivila,1,
,Ron Janowich,1,
,Ron Herron,1,
,Ron Hays,1,
,Ron Gorchov,1,
,Ron Edison,1,
,Ron Dubren,1,
,Ron Davis,1,
,Ron Costley,1,
,Ron Clark,1,
,Ron Arad,1,
,Romare Bearden,1,
,Roman Opalka,1,
,Roman Cieslewicz,1,
,Rollin Crampton,1,
,Rolf Julius,1,
,Rolf Iseli,1,
,Rolf Hanson,1,
,Rolf Engelen,1,
,Rolf Curt,1,
,Rolando Briseno,1,
,Roland Poulin,1,
,Roland Pellarin,1,
,Roland Gebhardt,1,
,Roland Flexner,1,
,Roland Dorcély,1,
,Roland Baladi,1,
,Roger Welch,1,
,Roger G. Alexander,1,
,Roger de La Fresnaye,1,
,Roger C. Ferri,1,
,Roger Brown,1,
,Roger Bolomey,1,
,Roger Bissière,1,
,Roger Ackling,1,
,Roff Beman,1,
,Roe Ethridge,1,
,Rody Graumans,1,
,Rodolphe Bresdin,1,
,Rodolfo Bonetto,1,
,Rodolfo Abularach,1,
,Rodney McMillian,1,
,Rodney Graham,1,
,Rodney Dickson,1,
,Rod Rhodes,1,
,Robyn Almaleh,1,
,Robin Rhode,1,
,Robin Page,1,
,Robin Day,1,
,Robin Bruch,1,
,Roberto Taroni,1,
,Roberto Rossellini,1,
,Roberto Matta,1,
,Roberto Lizano,1,
,Roberto Gervitz,1,
,Roberto Evangelista,1,
,Roberto Diago,1,
,Roberto Burle Marx,1,
,Roberto Berdecio,1,
,Roberta Bender,1,
,Roberta Allen,1,
,Robert Yasuda,1,
